Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][1560/1856]: lr: 0.000305, aux_loss_cls: 0.104129, aux_loss_reg: 0.508387, rpn_loc_loss: 1.102430, rpn_cls_loss: 0.561134, rpn_dir_loss: 0.136909, loss_cls: 0.165681, loss: 2.578670
epoch[1][1580/1856]: lr: 0.000305, aux_loss_cls: 0.107875, aux_loss_reg: 0.542744, rpn_loc_loss: 1.121945, rpn_cls_loss: 0.567329, rpn_dir_loss: 0.138755, loss_cls: 0.159524, loss: 2.638173
epoch[1][1600/1856]: lr: 0.000305, aux_loss_cls: 0.105306, aux_loss_reg: 0.579439, rpn_loc_loss: 1.162074, rpn_cls_loss: 0.569123, rpn_dir_loss: 0.137691, loss_cls: 0.154917, loss: 2.708550
epoch[1][1620/1856]: lr: 0.000305, aux_loss_cls: 0.099174, aux_loss_reg: 0.520076, rpn_loc_loss: 1.132204, rpn_cls_loss: 0.574138, rpn_dir_loss: 0.137898, loss_cls: 0.151645, loss: 2.615134
epoch[1][1640/1856]: lr: 0.000305, aux_loss_cls: 0.113329, aux_loss_reg: 0.546137, rpn_loc_loss: 1.212955, rpn_cls_loss: 0.579368, rpn_dir_loss: 0.137294, loss_cls: 0.144593, loss: 2.733675
epoch[1][1660/1856]: lr: 0.000305, aux_loss_cls: 0.109398, aux_loss_reg: 0.507005, rpn_loc_loss: 1.214091, rpn_cls_loss: 0.567150, rpn_dir_loss: 0.137813, loss_cls: 0.158629, loss: 2.694087
epoch[1][1680/1856]: lr: 0.000305, aux_loss_cls: 0.104710, aux_loss_reg: 0.537946, rpn_loc_loss: 1.161872, rpn_cls_loss: 0.570394, rpn_dir_loss: 0.139390, loss_cls: 0.182794, loss: 2.697106
epoch[1][1700/1856]: lr: 0.000305, aux_loss_cls: 0.101866, aux_loss_reg: 0.506573, rpn_loc_loss: 1.140533, rpn_cls_loss: 0.550131, rpn_dir_loss: 0.139103, loss_cls: 0.204810, loss: 2.643016
epoch[1][1720/1856]: lr: 0.000306, aux_loss_cls: 0.098393, aux_loss_reg: 0.492980, rpn_loc_loss: 1.217231, rpn_cls_loss: 0.568561, rpn_dir_loss: 0.138843, loss_cls: 0.181163, loss: 2.697171
epoch[1][1740/1856]: lr: 0.000306, aux_loss_cls: 0.093351, aux_loss_reg: 0.498033, rpn_loc_loss: 1.174308, rpn_cls_loss: 0.568479, rpn_dir_loss: 0.138647, loss_cls: 0.155241, loss: 2.628058
